Ad_ID,Ad_Name,Call_To_Action,Sale_Period,Creator,Audience_Intent,Audience_Type,FB_Format,Rational_or_Emotional_Appeal,External_Validation,Emotions,Specific_Emotions
23849516797220400.00,TS_Video_Homepage_Branded_NA_TS27x048x2-VideoTSJ1689V1BxTSVxGamifyteslaSwaps-18s-4x5_FreeQuiz,LEARN_MORE,0,Tubescience,Broad,Prospecting,Single,Rational,None,No Emotions,0
23849581262110400.00,TS_Video_Homepage_Branded_UGC_TS26x1147x2-VideoTSJ1745V2BxUGCxAnastasiaUGCMoreB2-55s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Broad,Prospecting,Single,0,0,0,0
23849581262060400.00,TS_Video_Homepage_Branded_UGC_TS26x1148x3-VideoTSJ1745V3CxUGCxAnastasiaUGCMoreB3-48s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Broad,Prospecting,Single,0,0,0,0
23849581262190400.00,TS_Video_Homepage_Branded_UGC_TS26x1147x3-VideoTSJ1745V2CxUGCxAnastasiaUGCMoreB2-55s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Broad,Prospecting,Single,0,0,0,0
23849581262120400.00,TS_Video_Homepage_Branded_UGC_TS26x1148x2-VideoTSJ1745V3BxUGCxAnastasiaUGCMoreB3-49s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Broad,Prospecting,Single,0,0,0,0
23849581262180400.00,TS_Video_Homepage_Branded_UGC_TS26x1147x1-VideoTSJ1745V2AxUGCxAnastasiaUGCMoreB2-49s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Broad,Prospecting,Single,0,0,0,0
23849581262130400.00,TS_Video_Homepage_Branded_UGC_TS26x1148x4-VideoTSJ1745V3DxUGCxAnastasiaUGCMoreB3-49s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Broad,Prospecting,Single,0,0,0,0
23849523707620400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuiz,LEARN_MORE,0,Tubescience,Broad,Prospecting,Single,0,0,0,0
23849573617550400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Broad,Prospecting,Single,0,0,0,0
23849573617790400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Lookalikes,Prospecting,Single,0,0,0,0
23849573617710400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Site Visitor,Retargeting,Single,0,0,0,0
23849573617770400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Lookalikes,Prospecting,Single,0,0,0,0
23849573617750400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Video Views,Prospecting,Single,Both Appeals,0,0,0
23849573617740400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Lookalikes,Prospecting,Single,0,0,0,0
23849573617720400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Lookalikes,Prospecting,Single,0,0,0,0
23849573617460400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Broad,Prospecting,Single,0,0,0,0
23849523707630400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Broad,Prospecting,Single,0,0,0,0
23849573617690400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Site Visitor,Retargeting,Single,0,0,0,0
23849573617680400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Site Visitor,Retargeting,Single,0,0,0,0
23849573617630400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Site Visitor,Retargeting,Single,0,0,0,0
23849573617590400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Broad,Prospecting,Single,0,0,0,0
23849573617760400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Broad,Prospecting,Single,0,0,0,0
23849573617610400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Site Visitor,Retargeting,Single,0,0,0,0
23849573617700400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Broad,Prospecting,Single,0,0,0,0
23849573617580400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Interests,Prospecting,Single,0,0,0,0
23849573617730400.00,TS_Video_Homepage_Influencer_UGC_TS27x043x4-VideoTSJ1591V1BxUGCxSelfDirectedB2-34s-4x5_AnastasiaQuote,LEARN_MORE,0,Tubescience,Video Views,Prospecting,Single,0,0,0,0
